,content
0,Unsatisfied apps and program.
1,"Beli Binar Go, pembayaran sudah terdebet dari kartu kredit, tapi status masih pending. Sudah chat via WA menunggu 24 jam tidak ada respon."
2,"Specifically this review is for BinarGO. Overall, the courses are great and i learnt alot, but I also experienced difficulties. Some of the text content did not load and so i couldn't complete my learning process. please fix this soon. Thank you 🙏"
3,Yes its good app i like to lern more about digytal skill
4,Can't login
5,Mohon diperbaiki lagi.. UI sudah bagus tetapi masa setiap buka aplikasi harus selalu login terus
6,"1 star: can't register with google, long buffering. When I try to register with normal method, it says my email already registered. Then I tried to login with google, but the button can't be pressed. Update: Somehow I managed to login after I checked my email and opened email verification. I pressed the verification button and when the web app opened it says verification timeout and guide me to the Binar App. When the App opened, I already login. Very bad user experience."
7,"Apakah update ini di QA dlu? Saya belajar QA dari apps ini, namun penggunaannya di aplikasi sendiri masih meragukan. Update terbaru tidak bisa login pakai ""sudah punya akun"" karena tombol ""lanjutkan dengan Google"" tidak bisa di klik."
8,"After updating to version 6.0.0, suddenly the courses that I had been working on until chapter 4 (gold) suddenly reset to silver badge. Please fix it soon!"
9,Login aja susah gak bisa bisa
10,"Overall sudah bagus, akan lebih baik jika ada menu untuk rekomendasi kelas atau training di luar tema yg sdh ada"
11,"Binar go itu klo bisa informasi sisa paket nya itu hari terakhir bisa akses binar go nya dung. Paket saya berakhir kemarin, tp ditulisnya tanggal hari ini. Padahal hari ini mau review sekali lagi. Mana harga ny naik 3x lipat biarpun udah promo"
12,Ini mah tolong bgt dibuat desktop versionnya :( Mau belajar serius tapi pake HP kecil bgt :(( Belum lagi tiba2 muncul notif dari doi jadi terdistract :(
13,Response time lama ketika pindah dari halaman materi. Loading animasi tidak ada saat pindah halaman materi. UX perlu ditingkatkan.
14,"Aplikasinya bagus, tp render materi lamaa bangeet butuh lebih dari 15 detik"
15,"Setelah update karena katanya ada logo dan wajah baru malah selalu otomatis ketutup tiap buka aplikasinya. Udah coba reinstall, masih tetep gitu."
16,Very Slow when loading next page.
17,gabisa landscape kecuali pas udh mulai play video
18,Please develop for the web version
19,"Untuk aplikasinya masih kurang memuaskan, masih ada error pas lagi ngakses modul materinya jadi ga bisa dibuka"
20,Amazing!!!
21,Go go binar
22,"Leaving this at 3 stars for now. Unless the dev finally implemented features to change resolution and offline downloads, the app is practically useless for me"
23,Terimakasih admin sudah ditangani keluhan saya. Untuk belajar pemula bagus di Binar ini. Jadi kita bisa dapat overview secara luas dulu tentang suatu topik.
24,"Di learningnya, loading lama banget. Baca slide 15 detik nunggunya 30detik"
25,T O P
26,"Dear binar developer, sudah 2 kali saya mengalami masalah yang sama. Tidak bisa melanjutkan materi karena koneksi terganggu di tengah jalan. Alhasil setiap saya ingin melanjutkan ke slide selanjutnya, selalu muncul notifikasi 'mohon maaf, terjadi kesalahan'. Update: problem sudah di solve tim binar. Well done"
27,loading materi dari halaman satu ke halaman lain cukup lama dan membosankan
28,"Good Education Apps,"
29,Binar is just amazing. But it would be great if the Binar GO have a speed adjustment button. I used to watch courses on 1.5-2x speed to keep my focus. Hope it helps. Thanks
30,"materinya sangat bagus, tapi load setiap halamannya sangat lama"
31,Mantap. Menyehatkan masa depan.
32,Gtau
33,"trouble terus, questioner slalu kembali ke awal setiap lihat gambar, capek ngulang2 ga klaar2. update : trouble fixed"
34,Saya sudah mendaftar dan mebayar binar insight untuk 2 event tapi kenapa tidak dapat email berisi link webinar dan di aplikasi juga tidak ada daftar transaksi? Saya jadi tidak bisa ikut webinar padahal sudah bayar. Saya ingin mengajukan refund.
35,"Untuk kelas silver nya mungkin lebih baik diberi opsi predownload, jadi tiap ke next card tidak perlu loading lg, sangat mengganggu"
36,"Tolong donk diperbaiki, asal mau nekan yang gold pasti force close, kalo force close terus gimana mau belajarnya ?"
37,"Kelas dan materi cukup bagus. Tapi pengalaman di app masih buruk, loading lama, kadang eror, sering tiba2 mengulang ke materi awal. Sangat mengganggu untuk belajar. Masih perlu ditingkatkan lagi"
38,Super Academy
39,"Bagus! Tpi mau request dong, terkadang klo hp suka kekecilan gtu layarnya, pengen bgt bsa avail di desktop/mac/ipad. Thnk u! Sorry ya binar, aku turunin ratingnya, karna bener2 bete bgt nunggu loading yg ga selesai2 padhal lagi ngejar materi yg berakhir 2hari lagi bakal selesai aktivasinya. :"""
40,Mantap
41,Aplikasinya ringan banget. Proses daftar via Google cepat & gak bertele2. Materi & pembicara kelas insight bagus. Untuk 1st time joiner sebaiknya dikasih ide untuk memulai dari mana: premium atau insight? Selesai bayar kelas via Gopay gak langsung kembali ke app Binar. Would be nice otherwise. Saya lagi menimbang daftar kelas silver. I might update this review after further experience.
42,Nice app for education
43,"Penyampaian materi nya sederhana dan mudah dimengerti. Hanya saja kecepatan loading app nya kadang cukup lambat, jadi perlu perbaikan supaya jadi lebih cepat wosh-wosh. Terima kasih."
44,Tidak bisa login. Tidak bisa sign up. Sign up google juga tidak bisa Update : sudah bisa signup dan login dengan lancar
45,"Terlalu banyak bugs ketika mengakses modul belajar di kelas gold, padahal sudah klik selanjutnya tapi tampilan masih sama."
46,"Payment for ""Binar Insights"" always stuck in loading. Sure it will reduce your revenue if it's not fixed ASAP."
47,"Great platform and easy to use, nice UI also. Keep up the good work !"
48,"Silver coursenya nggak bisa diakses. Ketika diklik, tertulis ""maaf, terjadi kesalahan"" | Review update : Problemnya masih sama, nggak bisa akses silver coursenya"
49,Mantap.
50,Hi support team thank you for your response and feedback. I'm highly appreciated.
51,"In terms of course materials, all good. But on the other hand, the app performance is irritating. The app state doesn't tell much information, just an infinite loading state though our internet is totally fine"
52,"Pertama kali memakai aplikasi e-learning dan hasilnya cukup menyenangkan dan mudah dimengerti, ya memang awal awal sangat lama loadingnya, tetapi problem itu sudah di solve dengan baik oleh pihak Binar sehingga user nyaman belajar di aplikasi Binar dan tidak menjadi masalah lagi untuk belajar."
53,Mantap udah ga lama lagi
54,Ini ngeload konten lama bgt. Sudah di versi terbaru namun masih belum fix. Tolong diperbaiki
55,"Lag, slow loading, bad UX"
56,Aplikasi lambat
57,Sometimes apps seems laggy
58,Kontennya ga keluar apa2.. saya pakai poco x3 pro..
59,You guys better fix this loading page immediately. Other courses have more simplicity & more tight information than you. You are about to get kick out of competition.
60,"Loading pagenya lama bgt bikin kesel, ngerusak mood pas mau belajar."
61,The apps is always running slow
62,Loading nya lama
63,banyak menemukan hal-hal baru
64,Aplikasi nya sangat lamban dan kurang responsif
65,baguss kok
66,Loading kontennya lamaa
67,Aplikasi sangat lambat loading nya
68,The apps is so laggy
69,Kenapa loading mulu😢
70,Such a good app. Tapi kok diakses menggunakan jaringan Telkom susah banget ya? Entah menggunakan wifi atau data seluler.
71,Hi kak apakah aplikasinya gangguan ya saya lg belajar :'
72,Terjadi kesalahan server pada notifikasi setiap saya coba membuka materi. Saya sudah download jadi belum bisa digunain. Next mohon coba di perbaiki servernya.
73,Aplikasinya kok berat ya
74,"sampah, sekelas binar app nya bisa begini, loding terus, banyak error, pembayaran berhasil terdebet tapi status transaksi di aplikasi dibatalkan, chat cs tidak di respon, sangat sangat tidak professional!!!"
75,"Frustasi, gak bisa dibuka di HP padahal internet cepat.. Login aja susah.. Mohon diperbaiki servernya.. Jika semua sudah berjalan dengan baik akan saya berikan rating ulang.. Terima kasih.."
76,"Semoga kedepannya loading pagenya bisa lebih kencang, supaya belajarnya dari halaman satu ke halaman lainya lebih mudah dan nyaman"
77,Ngeload datanya lama banget
78,Bad UX Why it always loading each component...
79,"Bagus buat belajar, cuma materinya kurang banyak sama gabisa dibuka bebas😓"
80,"very nice app, easy to use, user friendly and very usefull for learn"
81,Good
82,Sering loading lama waktu buka materi
83,Nais
84,"User experience udah enak, cuman tiap buka materi terus klik gambar materi, balik lagi ke materi berat sekali prosesnya untuk nampilin materi kembali, butuh waktu yang lumayan."
85,Buka beberapa chapter tidak loading. Tp kelas bootcampnya mantap!
86,"No search button. In ads there is a digital marketing course, but actually no."
87,"Loading ke page lama, opsi di kuis yg ilang"
88,"Variasi kursus dan webinar nya banyak sekali dan banyak materi yang bisa diakses dengan gratis maupun dengan biaya yang murah, tapi sayangnya apps nya sering force closed sendiri."
89,HELPFULLLLLL
90,Belum bisa tampilan landscape di tablet.
91,"Great app, Easy to learn"
92,FURQAN BNN INDONESIA
93,Kontennya bagus sih. Tp sumpah ngeselin bgt adsnya :(( tiap pindah muncul mulu. Mana munculnya pop up gede banget.
94,Clean&simple.
95,"Just installed, pop up bundle offernya INTRUSIVE banget. Hampir tiap navigate browsing katalog dia muncul_-"
96,Sangat membantu sekali dalam hal pembelajaran di sekolah saya
97,2 star for annoying pop up
